Index,Dataset,Indicator,Theme
1,Population size,1,1
2,Population density (persons per square km),2,1
3,Households,3,1
4,Population growth (rate) (1996 - 2001 and 2001 -2011),4,1
5,Female population,5,1
6,Male population,6,1
7,Sex ratio,7,1
8,Dependency ratio (age & economic),8,1
9,Child population,9,1
10,Youth population,10,1
11,Adult population,11,1
12,Elderly population,12,1
13,Net migration (rate),13,1
14,International immigrants (rate),14,1
15,Indigent,15,1
16,Poverty (rate),16,1
17,Gini Coefficient,17,1
18,Life expectancy - Male,18,1
19,Life expectancy - Female,18,1
20,Gross Value Add (GVA),19,2
21,Exports,20,2
22,Imports,21,2
23,Household income,22,2
24,Cost of living,23,2
25,Economically active population,24,2
26,Employment Absorption (rate) (EAR),25,2
27,Employment,26,2
28,Unemployment (rate),27,2
29,Vulnerable population unemployment,28,2
30,Human Development Index (HDI),29,2
31,"Fixed-landline connections per 100,000",30,2
32,"Mobile connections per 100,000",31,2
33,"Internet connections per 100,000",32,2
34,Water availability,33,3
35,Water consumption,34,3
36,Non-revenue water,35,3
37,Water losses,36,3
38,Risk Score - blue drop,37,3
39,Risk score - green drop,38,3
40,Energy supply - Petrol,39,3
41,Energy supply - Diesel,39,3
42,Energy supply - Coal,39,3
43,Energy supply - Paraffin,39,3
44,Energy supply - LPG,39,3
45,Energy supply - HFO,39,3
46,Energy supply - JetFuel + AvGas,39,3
47,Energy consumption (GJ),40,3
48,Energy intensity - Residential,41,3
49,Energy intensity - Commercial,41,3
50,Energy intensity - Industrial,41,3
51,Energy intensity - Transport,41,3
52,Energy intensity - Government,41,3
53,Energy intensity - Agriculture,41,3
54,Renewable energy,42,3
55,Energy losses,43,3
56,Green house gas (GHG) emissions,44,3
57,Waste recycling (tonnes),45,3
58,Residential fuel combustion - heating - coal,46,3
59,Residential fuel combustion - heating - wood,46,3
60,Residential fuel combustion - cooking - coal,46,3
61,Residential fuel combustion - cooking - wood,46,3
62,Open Space,47,3
63,Energy use - Residential,48,3
64,Energy use - Commercial,48,3
65,Energy use - Industrial,48,3
66,Energy use - Transport,48,3
67,Energy use - Government,48,3
68,Energy use - Agriculture,48,3
69,Energy use - Losses,48,3
70,Emission - Residential,49,3
71,Emission - Commercial,49,3
72,Emission - Industrial,49,3
73,Emission - Transport,49,3
74,Emission - Government,49,3
75,Emission - Agriculture,49,3
76,Emission - Losses,49,3
77,"Emissions (all fuels excl. aviation, marine) ",49,3
78,Male learner enrolment- primary,50,4
79,Female learner enrolment- primary,50,4
80,Male learner enrolment- secondary,51,4
81,Female learner enrolment- secondary,51,4
82,Learner-educator ratio,52,4
83,Completion (rate) - primary school 2011,53,4
84,Completion (rate) - secondary school 2011,54,4
85,Literacy (rate)s,55,4
