Indicator,Unit of Analysis,Definition,Theme,Sub-Theme,Source,Frequency
Population size,Persons,Total population in Metro ,Demography,Population,Censuses/Community survey/Stats SA Mid-year estimates,Annually
Population density,Persons / square km,Total population per square km by area type.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Households,Number of Households,Total households by type.,Demography,Population,Non-financial census / General Household Survey,Annually
Population growth rate,Percentage,Percentage increase or decrease in the population.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Female population,Number of Females,Total female population in Metro.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Male population,Number of Males,Total male population in Metro.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Sex ratio,Ratio,Total number of males per 100 females.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Dependency ratio,Ratio,Total number of people aged 0-14 years and aged 65 years and older as a portion of the population aged 15-64 years per 100 population.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Child population,Number of Children,Total population under 14 years of age.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Youth population,Number of Youth,Total population 15-24 years of age.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Adult population,Number of Adults,Total population 25-64 years of age.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Elderly population,Number of Elderly,Total population aged 66 years and older.,Demography,Population,Censuses / Community survey / Stats SA Mid-year estimates,Annually
Net migration rate,Ratio,Difference between in-migrantions and out-migrantions over a period of time.,Demography,Migration,Censuses ,Decentennial
International immigrants rate,Immigrants,"Total number of international immigrants over a period of time per 1,000 population.",Demography,Migration,Censuses ,Decentennial
Indigent,Number of Registered Indigent Households,Number of registered indigent households.,Poverty and Inequality,Inequality - Social,Non-financial census,Annually
Poverty rate,Number of People Living Below the National Poverty Line,Number of people living below the national poverty line.,Poverty and Inequality,Inequality - Social,IHS Global Insight: Development. Regional eXplorer 759 (2.5q). Poverty indicators. People below the lower poverty line (StatsSA defined).,Annually
Gini Coefficient,Ratio,A measure of inequality in income or wealth.,Poverty and Inequality,Inequality - Social,IHS Global Insight: Development. Regional eXplorer 759 (2.5q). Gini coefficient,Annually
Life expectancy,Number of Years,"The average number of years that a newborn could expect to live, if he/she were subject to the age-specific mortality rates of a given period.",Poverty and Inequality,Inequality - Health,Statistics South Africa- Med-year population estimates 2014. Available [online] http://www.statssa.gov.za/publications/P0302/P03022014.pdf ,Annually
Gross Value Add,Total Value of Goods and Services Produced,Total value (Rands) of goods and services produced.,Productive Cities,Economy,"Commercial, Global Insight",Annually
Exports,Value of Exports,Value of all goods and services exported.,Productive Cities,Economy,HIS Global Insight: International Trade. Regional eXplorer 759 (2.5q). Exports (R 1000),Annually
Imports,Value of Imports,Value of all goods and services imported.,Productive Cities,Economy,HIS Global Insight: International Trade. Regional eXplorer 759 (2.5q). Imports (R 1000),Annually
Household income,Total Income,Total income from different sources for all household and by dwelling type.,Productive Cities,Economy,Censuses / Community Survey / General Household Surveys,Annually
Cost of living,,"The amount of money needed to sustain a certain level of living, including basic expenses such as housing, food, taxes, and healthcare.",Productive Cities,Economy,"Income & Expenditure Survey, Statistics South Africa- Consumer Price Index: Index numbers and year-on-year rates. - CPI according to area",Annually
Economically active population,Number of Economically Active Persons,Total population employed and seeking employment within the 15-66 year age group.,Productive Cities,Employment,Censuses / Community Survey / General Household Surveys,Annually
Employment Absorption Rate,Ratio,Proportion of the total working-age population / EAP that is employed.,Productive Cities,Employment,Censuses / Community Survey / General Household Surveys. Formula to calculate (employment absorption rate ) EAR= Employed / working age population. Working age population = 15-65 years,Annually
Employment,Number of Persons Employed,"Total (formal & informal), disaggregated by sector.",Productive Cities,Employment,Censuses / Community Survey / General Household Surveys,Annually
Unemployment Rate,Ratio,Number of unemployed workers as a proportion of the total labour force.,Productive Cities,Employment,Labour Force Survey ,Annually
Vulnerable population unemployment,Ratio,"Women, youth, disabled proportion of unemployed.",Productive Cities,Employment,General Household Surveys,Annually
Human Development Index,Number,The HDI combines three dimensions: A long and healthy life: Life expectancy at birth; Education index: Mean years of schooling and Expected years of schooling; A decent standard of living: GNI per capita (PPP US$).,Productive Cities,Human Capital,IHS Global Insight: Development. Regional eXplorer 759 (2.5q). HDI,Annually
