Dataset,Region,Type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,City of Johannesburg,City,2597282,,,,,3226055,,,,,,,,,,4434827,,,,,,
1,City of Tshwane,City,1770330,,,,,2142322,,,,,,,,,,2921488,,,,,,
1,City of Cape Town,City,2534877,,,,,2892243,,,,,,,,,,3740026,,,,,,
1,EThekwini Municipality,City,2718180,,,,,3090122,,,,,,,,,,3442361,,,,,,
1,Ekurhuleni Municipality,City,2026978,,,,,2481762,,,,,,,,,,3178470,,,,,,
1,Nelson Mandela Bay Municipality,City,959299,,,,,1005779,,,,,,,,,,1152116,,,,,,
1,Buffalo City Municipality,City,685727,,,,,704855,,,,,,,,,,755200,,,,,,
1,Mangaung Municipality,City,603528,,,,,645440,,,,,,,,,,747431,,,,,,
1,Msunduzi Municipality,City,273830,,,,,552837,,,,,,,,,,552837,,,,,,
2,City of Johannesburg,City,,,,,,,,,,,,,,,,2696,,,,,,
2,City of Tshwane,City,,,,,,,,,,,,,,,,464,,,,,,
2,City of Cape Town,City,,,,,,,,,,,,,,,,1530,,,,,,
2,EThekwini Municipality,City,,,,,,,,,,,,,,,,1502,,,,,,
2,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,1609,,,,,,
2,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,588,,,,,,
2,Buffalo City Municipality,City,,,,,,,,,,,,,,,,298,,,,,,
2,Mangaung Municipality,City,,,,,,,,,,,,,,,,119,,,,,,
2,Msunduzi Municipality,City,,,,,,,,,,,,,,,,976,,,,,,
3,City of Johannesburg,City,732845,,,,,1006910,,,,,,,,,,1434856,,,,,,
3,City of Tshwane,City,459122,,,,,606025,,,,,,,,,,911536,,,,,,
3,City of Cape Town,City,651755,,,,,759485,,,,,,,,,,1068573,,,,,,
3,EThekwini Municipality,City,646345,,,,,786746,,,,,,,,,,956713,,,,,,
3,Ekurhuleni Municipality,City,542719,,,,,745576,,,,,,,,,,1015465,,,,,,
3,Nelson Mandela Bay Municipality,City,225677,,,,,260779,,,,,,,,,,324292,,,,,,
3,Buffalo City Municipality,City,161167,,,,,191958,,,,,,,,,,223568,,,,,,
3,Mangaung Municipality,City,153203,,,,,185013,,,,,,,,,,231921,,,,,,
3,Msunduzi Municipality,City,508592,,,,,535971,,,,,,,,,,596184,,,,,,
4,City of Johannesburg,City,,,,,,0.04,,,,,,,,,,0.032,,,,,,
4,City of Tshwane,City,,,,,,0.036,,,,,,,,,,0.031,,,,,,
4,City of Cape Town,City,,,,,,0.024,,,,,,,,,,0.026,,,,,,
4,EThekwini Municipality,City,,,,,,0.023,,,,,,,,,,0.011,,,,,,
4,Ekurhuleni Municipality,City,,,,,,0.04,,,,,,,,,,0.025,,,,,,
4,Nelson Mandela Bay Municipality,City,,,,,,0.007,,,,,,,,,,0.014,,,,,,
4,Buffalo City Municipality,City,,,,,,0.006,,,,,,,,,,0.007,,,,,,
4,Mangaung Municipality,City,,,,,,0.013,,,,,,,,,,0.015,,,,,,
4,Msunduzi Municipality,City,,,,,,0.011,,,,,,,,,,0.011,,,,,,
5,City of Johannesburg,City,1298409,,,,,1607200,,,,,,,,,,2209690,,,,,,
5,City of Tshwane,City,889575,,,,,1081141,,,,,,,,,,1468005,,,,,,
5,City of Cape Town,City,1309609,,,,,1503499,,,,,,,,,,1909327,,,,,,
5,EThekwini Municipality,City,1394449,,,,,1605084,,,,,,,,,,1759955,,,,,,
5,Ekurhuleni Municipality,City,993127,,,,,1222438,,,,,,,,,,1550747,,,,,,
5,Nelson Mandela Bay Municipality,City,500265,,,,,525947,,,,,,,,,,552994,,,,,,
5,Buffalo City Municipality,City,362004,,,,,374295,,,,,,,,,,396644,,,,,,
5,Mangaung Municipality,City,318465,,,,,338442,,,,,,,,,,385245,,,,,,
5,Msunduzi Municipality,City,276763,,,,,293804,,,,,,,,,,324082,,,,,,
6,City of Johannesburg,City,1298873,,,,,2597282,,,,,,,,,,2225137,,,,,,
6,City of Tshwane,City,880756,,,,,1061181,,,,,,,,,,1453483,,,,,,
6,City of Cape Town,City,1225268,,,,,1388744,,,,,,,,,,1830699,,,,,,
6,EThekwini Municipality,City,1323731,,,,,1485038,,,,,,,,,,1682406,,,,,,
6,Ekurhuleni Municipality,City,1033851,,,,,1259324,,,,,,,,,,1627724,,,,,,
6,Nelson Mandela Bay Municipality,City,459034,,,,,479829,,,,,,,,,,599120,,,,,,
6,Buffalo City Municipality,City,323723,,,,,330559,,,,,,,,,,358557,,,,,,
6,Mangaung Municipality,City,285063,,,,,306999,,,,,,,,,,362186,,,,,,
6,Msunduzi Municipality,City,247503,,,,,259033,,,,,,,,,,294454,,,,,,
7,City of Johannesburg,City,100,,,,,99,,,,,,,,,,101,,,,,,
7,City of Tshwane,City,99,,,,,98,,,,,,,,,,99,,,,,,
7,City of Cape Town,City,94,,,,,92,,,,,,,,,,96,,,,,,
7,EThekwini Municipality,City,95,,,,,93,,,,,,,,,,98,,,,,,
7,Ekurhuleni Municipality,City,104,,,,,103,,,,,,,,,,105,,,,,,
7,Nelson Mandela Bay Municipality,City,92,,,,,91,,,,,,,,,,92,,,,,,
7,Buffalo City Municipality,City,89,,,,,88,,,,,,,,,,90,,,,,,
7,Mangaung Municipality,City,90,,,,,91,,,,,,,,,,94,,,,,,
7,Msunduzi Municipality,City,89,,,,,88,,,,,,,,,,91,,,,,,
8,City of Johannesburg,City,41.1,,,,,36.6,,,,,,,,,,37.6,,,,,,
8,City of Tshwane,City,46.6,,,,,40.9,,,,,,,,,,39,,,,,,
8,City of Cape Town,City,50.5,,,,,46.3,,,,,,,,,,43.6,,,,,,
8,EThekwini Municipality,City,48.3,,,,,46.7,,,,,,,,,,42.8,,,,,,
8,Ekurhuleni Municipality,City,42.9,,,,,38.7,,,,,,,,,,39,,,,,,
8,Nelson Mandela Bay Municipality,City,50.2,,,,,45.9,,,,,,,,,,46,,,,,,
8,Buffalo City Municipality,City,55,,,,,48.3,,,,,,,,,,47.9,,,,,,
8,Mangaung Municipality,City,52.6,,,,,50.4,,,,,,,,,,47.4,,,,,,
8,Msunduzi Municipality,City,51.9,,,,,51.5,,,,,,,,,,46.2,,,,,,
9,City of Johannesburg,City,640727,,,,,733593,,,,,,,,,,1028812,,,,,,
9,City of Tshwane,City,481986,,,,,527740,,,,,,,,,,677110,,,,,,
9,City of Cape Town,City,722969,,,,,770749,,,,,,,,,,928329,,,,,,
9,EThekwini Municipality,City,773020,,,,,854525,,,,,,,,,,866280,,,,,,
9,Ekurhuleni Municipality,City,529178,,,,,609793,,,,,,,,,,772463,,,,,,
9,Nelson Mandela Bay Municipality,City,273060,,,,,263240,,,,,,,,,,294270,,,,,,
9,Buffalo City Municipality,City,206325,,,,,192802,,,,,,,,,,199315,,,,,,
9,Mangaung Municipality,City,176385,,,,,183621,,,,,,,,,,200821,,,,,,
9,Msunduzi Municipality,City,153234,,,,,161380,,,,,,,,,,164614,,,,,,
10,City of Johannesburg,City,494136,,,,,633782,,,,,,,,,,816528,,,,,,
10,City of Tshwane,City,349220,,,,,432895,,,,,,,,,,569421,,,,,,
10,City of Cape Town,City,486890,,,,,577785,,,,,,,,,,686859,,,,,,
10,EThekwini Municipality,City,570456,,,,,654817,,,,,,,,,,731265,,,,,,
10,Ekurhuleni Municipality,City,375976,,,,,477480,,,,,,,,,,585432,,,,,,
10,Nelson Mandela Bay Municipality,City,191450,,,,,203340,,,,,,,,,,216262,,,,,,
10,Buffalo City Municipality,City,146615,,,,,153768,,,,,,,,,,124155,,,,,,
10,Mangaung Municipality,City,125768,,,,,133368,,,,,,,,,,155602,,,,,,
10,Msunduzi Municipality,City,116617,,,,,117985,,,,,,,,,,133714,,,,,,
11,City of Johannesburg,City,1346021,,,,,1727289,,,,,,,,,,2405078,,,,,,
11,City of Tshwane,City,858345,,,,,1087191,,,,,,,,,,1532054,,,,,,
11,City of Cape Town,City,1196969,,,,,1399568,,,,,,,,,,1917351,,,,,,
11,EThekwini Municipality,City,1262796,,,,,1451851,,,,,,,,,,1679423,,,,,,
11,Ekurhuleni Municipality,City,1021507,,,,,1306952,,,,,,,,,,1694011,,,,,,
11,Nelson Mandela Bay Municipality,City,447072,,,,,486233,,,,,,,,,,572951,,,,,,
11,Buffalo City Municipality,City,350423,,,,,375726,,,,,,,,,,420983,,,,,,
11,Mangaung Municipality,City,265206,,,,,295841,,,,,,,,,,351320,,,,,,
11,Msunduzi Municipality,City,224758,,,,,247040,,,,,,,,,,289223,,,,,,
12,City of Johannesburg,City,116398,,,,,131390,,,,,,,,,,183409,,,,,,
12,City of Tshwane,City,80779,,,,,94496,,,,,,,,,,142904,,,,,,
12,City of Cape Town,City,128048,,,,,144141,,,,,,,,,,207487,,,,,,
12,EThekwini Municipality,City,111909,,,,,128928,,,,,,,,,,165393,,,,,,
12,Ekurhuleni Municipality,City,74496,,,,,87538,,,,,,,,,,126554,,,,,,
12,Nelson Mandela Bay Municipality,City,47719,,,,,52966,,,,,,,,,,68633,,,,,,
12,Buffalo City Municipality,City,31876,,,,,34491,,,,,,,,,,41403,,,,,,
12,Mangaung Municipality,City,29111,,,,,32613,,,,,,,,,,39687,,,,,,
12,Msunduzi Municipality,City,24031,,,,,26458,,,,,,,,,,30986,,,,,,
13,Western Cape,Province,,,,,,,,,,,,,,,,303823,,,,,,
13,Eastern Cape,Province,,,,,,,,,,,,,,,,-278261,,,,,,
13,Northern Cape,Province,,,,,,,,,,,,,,,,-6735,,,,,,
13,Free State,Province,,,,,,,,,,,,,,,,-24301,,,,,,
13,KwaZulu-Natal,Province,,,,,,,,,,,,,,,,-30684,,,,,,
13,North West,Province,,,,,,,,,,,,,,,,107169,,,,,,
13,Gauteng,Province,,,,,,,,,,,,,,,,1037871,,,,,,
13,Mpumalanga,Province,,,,,,,,,,,,,,,,52845,,,,,,
13,Limpopo,Province,,,,,,,,,,,,,,,,-152857,,,,,,
14,City of Johannesburg,City,,,,,,,,,,,,,,,,153.78,,,,,,
14,City of Tshwane,City,,,,,,,,,,,,,,,,102.38,,,,,,
14,City of Cape Town,City,,,,,,,,,,,,,,,,88.24,,,,,,
14,EThekwini Municipality,City,,,,,,,,,,,,,,,,60.1,,,,,,
14,Ekurhuleni Municipality,City,,,,,,,,,,,,,,,,100.71,,,,,,
14,Nelson Mandela Bay Municipality,City,,,,,,,,,,,,,,,,50.05,,,,,,
14,Buffalo City Municipality,City,,,,,,,,,,,,,,,,53.99,,,,,,
