"","sal.code","wd.code16","House","Traditional","Flat","Cluster.house","Townhouse","Semi","House.in.backyard","BYS","Informal.dwelling.not.BYS","Flatlet","Caravan","Other","Unspecified","Not.applicable","areah","pop_1996","pop_1997","pop_1998","pop_1999","pop_2000","pop_2001","pop_2002","pop_2003","pop_2004","pop_2005","pop_2006","pop_2007","pop_2008","pop_2009","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2027","pop_2028","pop_2029","pop_2030"
"1",5990001,"59500110",6,0,0,0,0,3,0,0,0,0,0,0,0,0,193.072,255.55066212374,457.959607900151,625.933227948457,761.254255486936,865.214817744216,938.658713079499,981.296463802007,993.385090648114,976.035531402358,929.824152891215,854.660285079462,750.008230288046,614.72845446208,447.469654233146,246.949542798404,12.0004636607787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",5990002,"59500001",6,0,0,0,0,0,0,0,0,0,0,0,0,0,181.462,681.480645672648,528.922092160123,394.620077160274,277.373445499867,176.192061507684,90.3109599669183,19.1615865584908,0,0,0,0,0,0,0,0,15.0005795666598,111.12077456997,226.375959138606,366.848350226461,533.922795554457,728.084056678702,947.769081165855,1190.75825735904,1454.92202203849,1736.996615474,2037.98679490631,2355.98823764705,2693.19466060584,3045.73227780382,3412.55097881983,3795.5607315163,4195.38906979291,4608.78291498227,5034.90163672092,5472.32489147693
"3",5990003,"59500099",3,0,0,0,0,0,0,0,0,0,0,6,0,0,105.668,47.450300474435,82.0543178167284,110.887911202265,134.253322698172,152.369768798205,165.38053055847,173.231442526669,175.965435160698,173.777989723624,166.773808695962,154.943315254403,138.201773131939,116.358628987971,89.1850592935884,56.4636843629403,18.0006954799917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5990004,"59500110",0,0,0,0,0,9,0,0,0,0,0,0,0,0,223.515,28.6182534055624,163.183364837821,276.230915283687,368.920299418627,442.111752366321,496.386724298123,531.678789701808,548.166287125644,546.496807296727,527.034272762552,489.763133144857,434.402827224577,360.311164475101,266.706534895409,152.834225504078,18.00069546509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5990005,"59500058",6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6511,5.20471219806685,90.9003296718004,163.044325859488,222.372145567206,269.431460061016,304.594374438132,327.829988480135,339.252431620831,339.266231330518,328.102282263974,305.755950381646,272.056958254987,226.608154082945,168.923398079479,98.5317908305187,15.0005795592089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5990006,"59500007",3,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8636,8.06896282898802,10.3378449869198,12.3991578089503,14.2690189124457,15.9593948598116,17.4783466375048,18.8160125274873,19.9737860356319,20.9721529475685,21.8267330397168,22.5454959950707,23.1328933476076,23.5828625347471,23.8838835832875,24.0246231391999,24.0009273066556,30.2347523356919,30.1338587084027,29.8428117991008,29.2701732414768,28.3471044193397,26.9951586626646,25.1947189796433,22.9654426456259,20.3259159477169,17.3495956885493,14.0571632628399,10.4894718316743,6.64803113743648,2.55542763226745,0,0,0,0,0
"7",5990007,"59500062",9,0,6,0,0,0,0,0,0,0,3,3,0,0,78.0857,175.45255920148,146.271327478037,120.429765169104,97.7003248097141,77.8901344679834,60.8455304254619,46.4150585378699,34.5481033353383,25.2302556369952,18.423671345107,14.0947396259805,12.2326817713775,12.8495489278157,15.9800102323449,21.6748317246765,30.0011591323882,52.1164183428456,70.5498386860142,93.3777956800186,120.760064598544,152.733429719865,188.976034753317,229.107106659373,272.791424078512,319.488847327319,369.442141313017,422.338294887057,478.592701308289,537.528602157801,598.976842835721,663.28247559397,730.557638553044,800.237692657257,872.180479719646,946.142844574554
"8",5990008,"59500048",6,0,0,0,0,0,0,0,0,0,0,3,0,0,274.391,144.589247848647,196.9559748813,239.956440659315,274.059748263165,299.596211311257,316.771899029947,325.439271949475,325.659054334531,317.77547214413,301.959656124896,278.177547166856,246.266304706714,205.881698584269,156.619887092503,98.1037073575529,30.001159137045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",5990009,"59500027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1099,732.107309899688,814.412514273065,877.285517121026,921.55149783206,947.723093958942,956.050433174379,945.849509692659,917.18799860847,870.936229360663,807.439536178631,726.494054475379,627.585594036979,509.770566884826,372.004091225667,213.349915134341,33.0012750615532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",5990010,"59500025",3,0,0,0,0,0,0,0,15,0,3,0,0,0,402.568,1428.5973102081,1239.16411350827,1067.25565417009,911.475732272673,770.584235369867,643.545404370621,529.129201180175,426.998807421267,337.219926688773,259.537135520911,193.578591201534,139.042231340393,95.7058560072269,63.5089595473349,42.5419501891163,33.001275042926,44.626199657962,63.3385056000656,98.7597968159991,151.971498450893,223.841689734485,314.474679738143,423.459608785609,550.12455839816,693.121660210849,852.630596399222,1027.66556338131,1218.99282177641,1424.70789274819,1644.06391803767,1877.76011415048,2125.97368347968,2386.92041592954,2659.96936120176,2944.17033505032
