,b_cat,house,tradit,flat,cluster,townhouse,semi,backyardhouse,backyardshack,informalsetl,flatlet,caravan,otherdwltyp,unspecdwel,pop12,pop13,pop14,pop15,pop16,pop17,x,y,sd16sd12
1,1,3.413923878,0,0,0.036318339,0,0.217910035,0,0.036318339,0.072636678,0,0,0.036318339,0,14.79367014,12.86879816,10.73812227,8.341111885,5.65355479,2.675450982,31.13333406,-29.5041669,-0.172330676
2,2,3.629679866,0,0,0.038613616,0,0.231681694,0,0.038613616,0.077227231,0,0,0.038613616,0,15.72861275,13.68209112,11.41675901,8.868260381,6.010852827,2.844536349,31.13750073,-29.5041669,-0.187899286
3,3,2.578601429,0,0,0.02743193,0,0.164591581,0,0.02743193,0.05486386,0,0,0.02743193,0,11.17393952,9.720047229,8.11070733,6.300199944,4.270237117,2.02081885,31.12083406,-29.50833357,-0.210065255
4,4,3.46140157,0,0,0.036823421,0,0.220940526,0,0.036823421,0.073646842,0,0,0.036823421,0,14.9994068,13.04776549,10.88745813,8.457112347,5.732179196,2.712658677,31.12500073,-29.50833357,-0.202154234
5,5,3.90179253,0,0,0.041508431,0,0.249050587,0,0.041508431,0.083016862,0,0,0.041508431,0,16.90776763,14.70782078,12.27265948,9.533103025,6.461479119,3.057787763,31.1291674,-29.50833357,-0.172979368
6,6,3.90179253,0,0,0.041508431,0,0.249050587,0,0.041508431,0.083016862,0,0,0.041508431,0,16.90776763,14.70782078,12.27265948,9.533103025,6.461479119,3.057787763,31.13333406,-29.50833357,-0.167273539
7,7,3.90179253,0,0,0.041508431,0,0.249050587,0,0.041508431,0.083016862,0,0,0.041508431,0,16.90776763,14.70782078,12.27265948,9.533103025,6.461479119,3.057787763,31.13750073,-29.50833357,-0.18236252
8,8,3.90179253,0,0,0.041508431,0,0.249050587,0,0.041508431,0.083016862,0,0,0.041508431,0,16.90776763,14.70782078,12.27265948,9.533103025,6.461479119,3.057787763,31.1416674,-29.50833357,-0.192702203
9,9,3.301263174,0,0,0.035119821,0,0.210718926,0,0.035119821,0.070239642,0,0,0.035119821,0,14.30547376,12.44412324,10.38376041,8.065852224,5.466985469,2.587160147,31.14583406,-29.50833357,-0.178676589
10,10,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.1166674,-29.51250024,-0.163309058
11,11,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.12083406,-29.51250024,-0.168152361
12,12,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.12500073,-29.51250024,-0.153905633
13,13,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.1291674,-29.51250024,-0.170162348
14,14,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.13333406,-29.51250024,-0.167112962
15,15,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.13750073,-29.51250024,-0.165957734
16,16,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.1416674,-29.51250024,-0.192887196
17,17,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.14583406,-29.51250024,-0.189772143
18,18,3.90163538,0,0,0.041506759,0,0.249040556,0,0.041506759,0.083013519,0,0,0.041506759,0,16.90708665,14.7072284,12.27216518,9.532719066,6.461218874,3.057664606,31.15000073,-29.51250024,-0.176763582
19,19,3.094454549,0,0.041740242,0.016046014,0,0.096276086,0,0.266487468,0.407754208,0,0,0.016046014,0,14.42498227,14.89631785,15.49934064,16.19339387,16.95386678,17.73901913,31.1541674,-29.51250024,-0.165436421
20,20,2.480171788,0,0,0.026384806,0,0.158308838,0,0.026384806,0.052769613,0,0,0.026384806,0,10.74741108,9.34901635,7.801107717,6.059710504,4.107234841,1.943680728,31.11250073,-29.5166669,-0.159695878
