"","b_sal_code","ward16","pop96","pop01","pop11","House","Traditional","Flat","Cluster.house","Townhouse","Semi","House.in.backyard","BYS","Informal.dwelling.not.BYS","Flatlet","Caravan","Other","Unspecified","Not.applicable","pop_1996","pop_1997","pop_1998","pop_1999","pop_2000","pop_2001","pop_2002","pop_2003","pop_2004","pop_2005","pop_2006","pop_2007","pop_2008","pop_2009","pop_2010","pop_2011","pop_2012","pop_2013","pop_2014","pop_2015","pop_2016","pop_2017","pop_2018","pop_2019","pop_2020","pop_2021","pop_2022","pop_2023","pop_2024","pop_2025","pop_2026","pop_2027","pop_2028","pop_2029","pop_2030"
"1",5600002,59500105,965.124876157783,344.155,54,0,18,0,0,0,0,0,0,0,0,0,0,0,0,965.124876157791,815.549974197819,678.665535602054,554.471560370497,442.968048503148,344.155000000006,258.032414861071,184.600293086345,123.858634675825,75.8074396295136,40.4467079474093,17.7764396295127,7.79663467582361,10.5072930863422,25.9084148610682,54.0000000000018,119.449520732536,190.175582083696,280.472021965873,390.976311251119,521.496977100949,670.523826205459,836.036351125033,1016.09260493777,1207.89375475595,1411.38842500712,1624.6049675993,1848.36350081941,2079.42441305655,2316.44557650531,2559.9696025607,2809.79623427723,3063.10629029819,3318.53860878176,3574.6440248085
"2",5600004,59500105,253.749393944089,668.395,204,36,12,0,0,0,0,0,0,0,0,0,0,0,0,253.749393944084,371.176814144916,471.355084850923,554.284206062106,619.964177778464,668.394999999998,699.576672726708,713.509195958594,710.192569695655,689.626793937892,651.811868685305,596.747793937893,524.434569695657,434.872195958597,328.060672726713,204.000000000004,79.0055902758585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",5600005,59500105,346.094869303891,275.565,279,51,3,3,0,0,0,0,0,0,0,0,0,0,0,346.094869303892,328.135702413573,312.103132038024,297.997158177246,285.817780831238,275.565000000001,267.238815683534,260.839227881837,256.366236594911,253.819841822755,253.20004356537,254.506841822755,257.740236594911,262.900227881837,269.986815683533,279,365.397967301751,388.42877579155,415.440232000661,445.699385715401,478.334190715134,512.148596636666,546.395198282348,580.798629138202,614.772361248002,649.190353549727,683.765255679341,719.336214886095,754.991458507355,790.652349194204,826.820546617613,863.630830339702,900.396247747143,936.927995091972,973.01285352871
"4",5600011,59500105,396.949815306598,441.234,309,0,42,3,0,0,0,0,0,0,0,0,0,0,0,396.949815306598,411.694715428926,423.495583959431,432.352420898111,438.265226244968,441.234,441.258742163208,438.339452734593,432.476131714153,423.668779101889,411.917394897801,397.221979101889,379.582531714153,358.999052734593,335.471542163209,309.000000000001,352.347583162958,317.131048801875,277.206632347306,231.534097798411,179.537929744811,121.129221707626,56.9333665091938,0,0,0,0,0,0,0,0,0,0,0,0
"5",5600022,59500105,423.570975439457,599.731,375,9,57,0,0,0,0,0,0,0,0,0,0,0,0,423.570975439455,474.191008328126,517.117027228516,552.349032140625,579.887023064453,599.730999999999,611.880962947265,616.336911906249,613.098846876952,602.166767859374,583.540674853515,557.220567859375,523.206446876953,481.49831190625,432.096162947267,375.000000000002,390.94338299517,304.945833400508,206.082237369207,92.8880057402953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",5600023,52102018,359.003626028371,307.12,378,0,78,0,0,0,0,0,0,0,0,0,0,0,0,359.003626028372,343.969640767851,331.264285534753,320.887560329079,312.839465150828,307.12,303.729164876596,302.666959780614,303.933384712056,307.528439670921,313.452124657209,321.704439670921,332.285384712056,345.194959780614,360.433164876595,377.999999999999,501.449624288285,538.914160420854,581.660145861471,628.655132078148,678.629474565725,729.826989312916,781.119679894294,832.066124383699,881.79880794475,931.563804398878,980.957806382872,1031.20236862478,1081.0131559794,1130.30673119452,1179.83132549254,1229.80811795267,1279.28839911758,1328.03747219815,1375.78766015264
"7",5600025,52102003,1355.9233737992,264.884,387,12,60,3,0,3,0,0,3,0,0,0,3,0,0,1355.92337379921,1076.27030577008,827.339834375595,609.131959615754,421.646681490559,264.884000000008,138.843915144103,43.5264269228437,-21.0684646637708,-54.9407596157397,-58.0904579330634,-30.5175596157417,27.7779353362252,116.796026922838,236.536715144095,386.999999999998,716.058919379905,1000.67679908773,1337.79109850423,1727.87719356264,2168.51333464646,2652.969904533,3173.86733944887,3725.06339008831,4297.87252863939,4893.75017365175,5507.17813055698,6142.12254801455,6788.78519611552,7443.94066569123,8110.32984724043,8788.06131838792,9469.02585256179,10149.8249297236,10826.812892111
"8",5600030,59500105,617.948401621938,478.105,435,63,24,3,0,0,0,0,0,3,0,0,0,0,0,617.94840162194,583.670873211049,552.547768843409,524.579088519022,499.764832237886,478.105000000001,459.599591805369,444.248607653988,432.052047545858,423.009911480981,417.122199459355,414.38891148098,414.810047545858,418.385607653987,425.115591805368,435,564.64303760733,595.500114371528,632.553653625559,674.686693812993,720.606156962933,768.555936260426,817.467079395677,866.971218471087,916.222235514093,966.537127214954,1017.48801265811,1070.3161479614,1123.65224026936,1177.36291106553,1232.17640989879,1288.27493530087,1344.61444491286,1400.8912927771,1456.76410918253
"9",5600031,59500105,432.205200193219,603.289,465,57,39,0,0,0,0,0,3,0,0,0,0,0,0,432.205200193217,479.234136144269,519.856984100472,554.073744061829,581.884416028338,603.288999999999,618.287495976813,626.879903958779,629.066223945898,624.84645593817,614.220599935594,597.18865593817,573.750623945899,543.906503958781,507.656295976815,465.000000000001,524.18732946539,462.396766235128,390.58105258291,307.044682567634,210.904306144768,102.192317050053,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",5600035,59500105,884.49091941297,747.897,477,6,99,0,0,3,0,0,0,0,0,0,0,0,0,884.490919412972,857.11104649502,829.761718094747,802.442934212153,775.154694847238,747.897000000002,720.669849670446,693.473243858568,666.30718256437,639.171665787852,612.066693529012,584.992265787852,557.94838256437,530.935043858568,503.952249670446,477.000000000002,567.213279915362,542.849133128026,518.420751242054,492.596848567538,464.41917556989,433.161307793137,398.982308418198,362.574055229344,324.44250201731,285.80199679717,247.01212448062,208.741324628257,170.94933994014,133.896210940781,97.8539143491446,62.9144906579237,29.0867372761698,0,0
"11",5600039,59500105,564.169655664719,331.657,510,12,75,3,0,0,0,0,0,0,0,0,0,0,0,564.169655664722,500.510636229659,445.429860945656,398.927329812712,361.003042830827,331.657000000001,310.889201320235,298.699646791527,295.088336413879,300.05527018729,313.60044811176,335.723870187289,366.425536413878,405.705446791526,453.563601320232,509.999999999998,724.664897853661,832.010254650165,955.905812763435,1095.22601772987,1247.93367025145,1410.51054090132,1580.04611460009,1754.71616311918,1931.68942569317,2112.75157011926,2296.30803911291,2484.6503871334,2674.27205544613,2864.44921193177,3056.66698971773,3251.24223358655,3445.428028118,3638.29056438243,3828.80838446019
"12",5600041,59500098,744.122137342283,967.107,534,21,39,3,3,0,0,0,0,0,0,6,3,0,0,744.122137342281,812.161155882236,868.479151417986,913.076123949529,945.952073476867,967.107,976.540903518926,974.253784033646,960.245641544161,934.51647605047,897.066287552574,847.895076050471,787.002841544163,714.389584033649,630.055303518929,534.000000000003,537.150381559397,393.457422490591,229.575766107049,43.4190048088331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",5600042,59500105,2128.05265117071,735.767,537,57,18,0,0,0,0,30,0,0,0,0,0,0,0,2128.05265117073,1780.64073954081,1467.70621860879,1189.24908837464,945.269348838384,735.767000000012,560.742041859526,420.194474416925,314.12429767221,242.53151162538,205.416116276436,202.778111625378,234.617497672205,300.934274416918,401.728441859517,537.000000000001,890.683674257386,1168.56611561409,1503.85460802291,1896.89624176354,2345.18024460034,2841.76754346892,3379.14946220778,3951.10274741512,4548.61636564421,5173.31975618226,5819.36809703738,6490.89130964934,7177.44145086086,7875.48931106033,8587.8021086824,9314.36598269062,10046.4540162316,10780.3136244111,11511.9214108076
"14",5600056,52102018,567.41576960294,983.415,612,6,99,0,0,0,0,0,0,0,0,0,0,0,0,567.415769602935,682.706641303524,781.952000193525,865.151846272938,932.306179541762,983.414999999998,1018.47830764765,1037.4961024847,1040.46838451118,1027.39515372706,998.276410132354,953.11215372706,891.902384511178,814.647102484708,721.34630764765,612.000000000003,613.250238254191,442.772663740711,245.508058668288,18.8770277637516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",5600059,59500105,683.810124608908,435.259,624,60,60,0,0,0,0,0,6,3,0,0,3,0,0,683.810124608911,615.810746374654,556.955944796635,507.245719874853,466.680071609308,435.259000000001,412.982505046932,399.8505867501,395.863245109506,401.020480125149,415.322291797031,438.768680125149,471.359645109505,513.095186750098,563.97530504693,623.999999999998,873.56982238482,989.63061253939,1123.55116450288,1273.89109334094,1438.25166096138,1612.63839405845,1793.85898379669,1980.00347921048,2168.04059921912,2360.12068101822,2554.5624471136,2753.99485898541,2954.58618112526,3155.60378542849,3358.73479086605,3564.35729103508,3769.48681199192,3973.1355698687,4174.21953455281
"16",5600061,59500105,481.959855005536,730.144,630,138,0,0,0,0,0,0,0,0,0,0,0,0,0,481.959855005533,547.503678404131,605.094004602876,654.73083360177,696.41416540081,730.143999999998,755.920337399334,773.743177598818,783.612520598449,785.528366398228,779.490714998154,765.499566398228,743.55492059845,713.656777598819,675.805137399336,630.000000000001,726.210880718115,660.019470937595,581.910403589496,489.594621085177,381.718665302375,257.962158024884,119.569512057119,0,0,0,0,0,0,0,0,0,0,0,0
"17",5600062,59500105,189.737029232174,880.349,630,66,51,0,0,0,0,0,0,0,0,0,0,0,0,189.737029232166,371.368035160016,531.244735200724,669.36712935429,785.735217620713,880.348999999995,953.208476492135,1004.31364709713,1033.66451181499,1041.2610706457,1027.10332358927,991.191270645704,933.524911814992,854.104247097137,752.929276492141,630.000000000002,611.62228922808,409.045831555218,170.946189482411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",5600065,59500105,877.230688312664,829.559,642,24,30,0,0,0,0,0,0,0,0,0,48,0,0,877.230688312665,870.155433940124,861.850637922586,852.316300260054,841.552420952525,829.559000000001,816.336037402481,801.883533159966,786.201487272455,769.289899739949,751.148770562446,731.778099739949,711.177887272455,689.348133159966,666.288837402482,642.000000000001,776.923851317704,756.489037782387,734.813537781487,709.971846370493,680.457709243368,645.018186696254,603.670249543746,557.264684140707,506.42811559981,452.958279499207,397.394148689855,340.81356239372,283.184475298514,224.975911926693,166.702330671943,108.593393925655,50.7420527354572,0,0
"19",5600068,59500105,627.097319944267,387.375,648,36,69,0,0,0,0,0,0,0,0,0,0,0,0,627.09731994427,559.417665558389,501.605606371021,453.661142382167,415.584273591827,387.375000000001,369.033321606689,360.55923841189,361.952750415605,373.213857617834,394.342560018577,425.338857617834,466.202750415604,516.934238411888,577.533321606686,647.999999999998,917.886680886951,1049.98852612966,1201.59562080424,1371.20906162437,1556.22792440202,1752.26234705707,1955.74573001358,2164.50035111665,2375.13201241756,2589.93727403216,2807.04123849975,3029.31660096129,3252.54525249413,3475.91748033759,3701.29572947007,3929.10695676968,4156.07310405679,4381.11715657668,4603.05741699381
"20",5600069,59500105,1714.76093819618,617.618,648,42,72,0,0,0,0,0,0,0,0,0,0,0,0,1714.76093819619,1436.00787385316,1186.91704786203,967.488460222789,777.72211093545,617.618000000009,487.176127416467,386.396493184822,315.279097305076,273.823939777228,262.031020601277,279.900339777226,327.431897305072,404.625693184816,511.481727416459,647.999999999999,1026.07480374808,1295.6212675861,1616.15095938743,1987.3314062119,2406.17228023814,2865.57229005839,3358.32041586255,3878.75998412816,4418.64712019803,4980.15067809651,5558.08662404089,6156.78131834508,6766.6202750561,7384.63262823517,8013.71018735916,8654.04909788277,9297.73843187734,9941.53594027209,10581.9536763808
"21",5600072,59500105,452.098935691063,797.564,675,129,18,0,0,0,0,0,0,0,0,0,0,0,0,452.098935691059,542.88512531599,622.82472655935,691.917739421137,750.164163901353,797.563999999998,834.11724771707,859.823907052571,874.683978006501,878.697460578859,871.864354769645,854.18466057886,825.658378006502,786.285507052574,736.066047717073,675.000000000001,760.043676113631,667.458097350748,558.180437103892,429.636471750277,280.484783707785,110.817732627351,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",5600074,59500105,706.134484174186,681.72,684,54,51,18,3,3,0,0,0,0,0,0,0,0,0,706.134484174186,699.888681516726,694.324331770577,689.44143493574,685.239991012214,681.72,678.881461899098,676.724376709507,675.248744431228,674.454565064261,674.341838608605,674.91056506426,676.160744431228,678.092376709507,680.705461899098,684,867.024966172694,888.485091661194,912.993009708762,938.532913156311,963.125513318994,984.539372955972,1001.82749177564,1015.12463341165,1024.10288011119,1030.8800992614,1035.47906841906,1039.57129770342,1042.12956684136,1043.40881933452,1044.35848941841,1045.32633432376,1045.64503411395,1045.30201955145,1044.25526944369
