,sal.code,wd.code16,House,Traditional,Flat,Cluster.house,Townhouse,Semi,House.in.backyard,BYS,Informal.dwelling.not.BYS,Flatlet,Caravan,Other,Unspecified,Not.applicable,areah,x1996,x1997,x1998,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,pred2012,pred2013,pred2014,pred2015,pred2016,pred2017,pred2018,pred2019,pred2020,pred2021,pred2022,pred2023,pred2024,pred2025,pred2026,pred2027,pred2028,pred2029,pred2030
1,5990001,59500110,6,0,0,0,0,3,0,0,0,0,0,0,0,0,193.072,255.5506621,457.9596079,625.9332279,761.2542555,865.2148177,938.6587131,981.2964638,993.3850906,976.0355314,929.8241529,854.6602851,750.0082303,614.7284545,447.4696542,246.9495428,12.00046366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5990002,59500001,6,0,0,0,0,0,0,0,0,0,0,0,0,0,181.462,681.4806457,528.9220922,394.6200772,277.3734455,176.1920615,90.31095997,19.16158656,0,0,0,0,0,0,0,0,15.00057957,111.1207746,226.3759591,366.8483502,533.9227956,728.0840567,947.7690812,1190.758257,1454.922022,1736.996615,2037.986795,2355.988238,2693.194661,3045.732278,3412.550979,3795.560732,4195.38907,4608.782915,5034.901637,5472.324891
3,5990003,59500099,3,0,0,0,0,0,0,0,0,0,0,6,0,0,105.668,47.45030047,82.05431782,110.8879112,134.2533227,152.3697688,165.3805306,173.2314425,175.9654352,173.7779897,166.7738087,154.9433153,138.2017731,116.358629,89.18505929,56.46368436,18.00069548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5990004,59500110,0,0,0,0,0,9,0,0,0,0,0,0,0,0,223.515,28.61825341,163.1833648,276.2309153,368.9202994,442.1117524,496.3867243,531.6787897,548.1662871,546.4968073,527.0342728,489.7631331,434.4028272,360.3111645,266.7065349,152.8342255,18.00069547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5990005,59500058,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6511,5.204712198,90.90032967,163.0443259,222.3721456,269.4314601,304.5943744,327.8299885,339.2524316,339.2662313,328.1022823,305.7559504,272.0569583,226.6081541,168.9233981,98.53179083,15.00057956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5990006,59500007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,96.8636,8.068962829,10.33784499,12.39915781,14.26901891,15.95939486,17.47834664,18.81601253,19.97378604,20.97215295,21.82673304,22.545496,23.13289335,23.58286253,23.88388358,24.02462314,24.00092731,30.23475234,30.13385871,29.8428118,29.27017324,28.34710442,26.99515866,25.19471898,22.96544265,20.32591595,17.34959569,14.05716326,10.48947183,6.648031137,2.555427632,0,0,0,0,0
7,5990007,59500062,9,0,6,0,0,0,0,0,0,0,3,3,0,0,78.0857,175.4525592,146.2713275,120.4297652,97.70032481,77.89013447,60.84553043,46.41505854,34.54810334,25.23025564,18.42367135,14.09473963,12.23268177,12.84954893,15.98001023,21.67483172,30.00115913,52.11641834,70.54983869,93.37779568,120.7600646,152.7334297,188.9760348,229.1071067,272.7914241,319.4888473,369.4421413,422.3382949,478.5927013,537.5286022,598.9768428,663.2824756,730.5576386,800.2376927,872.1804797,946.1428446
8,5990008,59500048,6,0,0,0,0,0,0,0,0,0,0,3,0,0,274.391,144.5892478,196.9559749,239.9564407,274.0597483,299.5962113,316.771899,325.4392719,325.6590543,317.7754721,301.9596561,278.1775472,246.2663047,205.8816986,156.6198871,98.10370736,30.00115914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,5990009,59500027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.1099,732.1073099,814.4125143,877.2855171,921.5514978,947.723094,956.0504332,945.8495097,917.1879986,870.9362294,807.4395362,726.4940545,627.585594,509.7705669,372.0040912,213.3499151,33.00127506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5990010,59500025,3,0,0,0,0,0,0,0,15,0,3,0,0,0,402.568,1428.59731,1239.164114,1067.255654,911.4757323,770.5842354,643.5454044,529.1292012,426.9988074,337.2199267,259.5371355,193.5785912,139.0422313,95.70585601,63.50895955,42.54195019,33.00127504,44.62619966,63.3385056,98.75979682,151.9714985,223.8416897,314.4746797,423.4596088,550.1245584,693.1216602,852.6305964,1027.665563,1218.992822,1424.707893,1644.063918,1877.760114,2125.973683,2386.920416,2659.969361,2944.170335
